"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Tuesday, May 23, 2017"
"Time:","2:38:53 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-151.40416880605"
"50.363637","-142.106973264476"
"50.727273","-132.841527350625"
"51.09091","-123.500481651571"
"51.454546","-114.158000715434"
"51.818182","-104.818422610013"
"52.181819","-95.4586656737137"
"52.545455","-86.0960490990428"
"52.909091","-76.7099636375851"
"53.272728","-67.3045278799215"
"53.636364","-57.9541134904941"
"54","-48.5743569804033"
"54.363637","-39.1939494129191"
"54.727273","-29.8666832227682"
"55.09091","-20.5170673699325"
"55.454546","-11.1860177277959"
"55.818182","-1.86105914551755"
"56.181819","7.498817884848"
"56.545455","16.829748984741"
"56.909091","26.2310273232506"
"57.272728","35.639072382035"
"57.636364","45.0145987844897"
"58","54.4514417214997"
"58.363637","63.8624213805559"
"58.727273","73.2425804922865"
"59.09091","82.6488847877793"
"59.454546","92.0059136100211"
"59.818182","101.348970751638"
"60.181819","110.665405251079"
"60.545455","119.968517841571"
"60.909091","129.285178371499"
"61.272728","138.576487293944"
"61.636364","147.848598804588"
"62","157.162790308686"
"62.363637","166.477588625118"
"62.727273","175.776820517428"
"63.09091","-174.889817529269"
"63.454546","-165.552202925334"
"63.818182","-156.214383403437"
"64.181819","-146.853322691087"
"64.545455","-137.528208908571"
"64.909091","-128.148024621361"
"65.272728","-118.773150374712"
"65.636364","-109.447931552412"
"66","-100.077789770396"
"66.363637","-90.7170175034269"
"66.727273","-81.3856038619539"
"67.09091","-72.0762142382873"
"67.454546","-62.7556966768687"
"67.818182","-53.4775433746067"
"68.181819","-44.1502702678176"
"68.545455","-34.8201722474014"
"68.909091","-25.4939662075964"
"69.272728","-16.1540751670825"
"69.636364","-6.8213194348118"
"70","2.52619107922086"
"70.363637","11.8510666320052"
"70.727273","21.1743485497252"
"71.09091","30.5252942039755"
"71.454546","39.8624874471913"
"71.818182","49.189838855935"
"72.181819","58.5168076480552"
"72.545455","67.8267694659231"
"72.909091","77.1326286627261"
"73.272728","86.4165280171649"
"73.636364","95.6568396914192"
"74","104.931583286847"
"74.363637","114.189508769954"
"74.727273","123.419451491031"
"75.09091","132.655709731036"
"75.454546","141.906014068964"
"75.818182","151.10949293089"
"76.181819","160.350089776092"
"76.545455","169.585381203781"
"76.909091","178.844653865491"
"77.272728","-171.884880179399"
"77.636364","-162.631986719611"
"78","-153.340213824079"
"78.363637","-144.074238862787"
"78.727273","-134.82176729882"
"79.09091","-125.554426581083"
"79.454546","-116.289939799171"
"79.818182","-107.016354033827"
"80.181819","-97.7317792235957"
"80.545455","-88.5006035247659"
"80.909091","-79.2121927034199"
"81.272728","-69.9334948401651"
"81.636364","-60.6722560726241"
"82","-51.3601143962388"
"82.363637","-42.0520308956377"
"82.727273","-32.7330889649136"
"83.09091","-23.3867329450673"
"83.454546","-14.0251097152852"
"83.818182","-4.66756144175407"
"84.181819","4.68788202184699"
"84.545455","14.0421183358609"
"84.909091","23.4159401932908"
"85.272728","32.7887396882074"
"85.636364","42.1416787545234"
"86","51.5063868525929"
"86.363637","60.8459778153118"
"86.727273","70.1596869964128"
"87.09091","79.534726496767"
"87.454546","88.8792916814948"
"87.818182","98.202556606696"
"88.181819","107.534222459044"
"88.545455","116.815769808922"
"88.909091","126.135773824846"
"89.272728","135.482016764979"
"89.636364","144.781661443235"
"90","154.116677007804"
"90.363637","163.46440162587"
"90.727273","172.790269326295"
"91.09091","-177.857201435651"
"91.454546","-168.496053731134"
"91.818182","-159.149136463212"
"92.181819","-149.797109685688"
"92.545455","-140.458724057538"
"92.909091","-131.117586346743"
"93.272728","-121.771332359207"
"93.636364","-112.440761530164"
"94","-103.103302201127"
"94.363637","-93.7882024387789"
"94.727273","-84.4959544880241"
"95.09091","-75.1705036497071"
"95.454546","-65.8392854000767"
"95.818182","-56.4841467379643"
"96.181819","-47.1057526252747"
"96.545455","-37.7495805680878"
"96.909091","-28.3531559151706"
"97.272728","-18.9799746133311"
"97.636364","-9.62446557562637"
"98","-0.216458871476989"
"98.363637","9.11020798299999"
"98.727273","18.4703262926726"
"99.09091","27.8209360164808"
"99.454546","37.1435881875211"
"99.818182","46.3908372712437"
"100.181819","55.7561913680626"
"100.545455","65.0544092073688"
"100.909091","74.376373478101"
"101.272728","83.6734290390797"
"101.636364","92.9542198666118"
"102","102.264844607948"
"102.363637","111.584063465683"
"102.727273","120.879518071642"
"103.09091","130.187768283012"
"103.454546","139.426432926504"
"103.818182","148.71108801892"
"104.181819","157.991045926154"
"104.545455","167.233689197918"
"104.909091","176.53923453786"
"105.272728","-174.19214049059"
"105.636364","-164.968694621982"
"106","-155.730467477853"
"106.363637","-146.482035844059"
"106.727273","-137.258654802453"
"107.09091","-127.957540279365"
"107.454546","-118.703419968898"
"107.818182","-109.373005141232"
"108.181819","-100.037725648238"
"108.545455","-90.7137077842436"
"108.909091","-81.3783733961735"
"109.272728","-72.0554542425897"
"109.636364","-62.7356756713499"
"110","-53.3921348061413"
"110.363637","-44.0588065479865"
"110.727273","-34.7272822887542"
"111.09091","-25.3686230526455"
"111.454546","-16.0307811524188"
"111.818182","-6.67338027784184"
"112.181819","2.6849929506649"
"112.545455","12.0068945769795"
"112.909091","21.3728633553455"
"113.272728","30.7198117310918"
"113.636364","40.058904780257"
"114","49.4165776026575"
"114.363637","58.7528774924227"
"114.727273","68.0599041746998"
"115.09091","77.3556965201486"
"115.454546","86.5937673540712"
"115.818182","95.8812583442227"
"116.181819","105.164368143112"
"116.545455","114.373950217771"
"116.909091","123.642173693249"
"117.272728","132.882212441915"
"117.636364","142.058764421327"
"118","151.238842376455"
"118.363637","160.439030455725"
"118.727273","169.60509590045"
"119.09091","178.785993249392"
"119.454546","-172.02490857751"
"119.818182","-162.84630829221"
"120.181819","-153.633173120351"
"120.545455","-144.460716321598"
"120.909091","-135.268787815781"
"121.272728","-126.077905871777"
"121.636364","-116.866094414255"
"122","-107.652526657871"
"122.363637","-98.4354203681822"
"122.727273","-89.2032820543364"
"123.09091","-79.9803008764449"
"123.454546","-70.7695638387485"
"123.818182","-61.5153478046924"
"124.181819","-52.2333431673577"
"124.545455","-42.9720496407386"
"124.909091","-33.6731766787426"
"125.272728","-24.3361385533645"
"125.636364","-15.0250495370551"
"126","-5.6532311460178"
"126.363637","3.73203787413021"
"126.727273","13.0928919910805"
"127.09091","22.5072433226352"
"127.454546","31.8833430473331"
"127.818182","41.3136535682567"
"128.181819","50.7299120344833"
"128.545455","60.1299443686027"
"128.909091","69.5449711403638"
"129.272728","78.9347053049863"
"129.636364","88.3215457541664"
"130","97.7167610889131"
"130.363637","107.07745506572"
"130.727273","116.4284361433"
"131.09091","125.799100024803"
"131.454546","135.138917837602"
"131.818182","144.491623675564"
"132.181819","153.827768263203"
"132.545455","163.121487433744"
"132.909091","172.429010286709"
"133.272728","-178.267113912266"
"133.636364","-168.998314735465"
"134","-159.698499479644"
"134.363637","-150.402189624371"
"134.727273","-141.168422480743"
"135.09091","-131.919516105365"
"135.454546","-122.66320616095"
"135.818182","-113.423025900012"
"136.181819","-104.140717157975"
"136.545455","-94.9127439468802"
"136.909091","-85.6550945364383"
"137.272728","-76.4274071292868"
"137.636364","-67.2067028378355"
"138","-58.0008666195487"
"138.363637","-48.7532988743233"
"138.727273","-39.5108636796495"
"139.09091","-30.2512193849423"
"139.454546","-20.9966603218464"
"139.818182","-11.7125231894075"
"140.181819","-2.41182001834815"
"140.545455","6.87726229394767"
"140.909091","16.1934279208329"
"141.272728","25.4993415595996"
"141.636364","34.8001430546682"
"142","44.1364819897714"
"142.363637","53.4651238690661"
"142.727273","62.8080657042882"
"143.09091","72.1761153639536"
"143.454546","81.5255287979773"
"143.818182","90.8746421249713"
"144.181819","100.234509075891"
"144.545455","109.568646101001"
"144.909091","118.925433244491"
"145.272728","128.278191897307"
"145.636364","137.601255786168"
"146","146.970341789764"
"146.363637","156.314381729022"
"146.727273","165.633569284545"
"147.09091","174.995460581117"
"147.454546","-175.654721206989"
"147.818182","-166.266466409915"
"148.181819","-156.879073565137"
"148.545455","-147.514938401152"
"148.909091","-138.130136682752"
"149.272728","-128.760548253456"
"149.636364","-119.390352261437"
"150","-110.065431719217"
"150.363637","-100.690030436753"
"150.727273","-91.3763935846062"
"151.09091","-82.0595043920787"
"151.454546","-72.7723294026021"
"151.818182","-63.452751612328"
"152.181819","-54.150294998915"
"152.545455","-44.8621705756957"
"152.909091","-35.536041103907"
"153.272728","-26.2386692649496"
"153.636364","-16.9425434097095"
"154","-7.61636743075478"
"154.363637","1.71596248897631"
"154.727273","11.0155363334993"
"155.09091","20.3277711225765"
